,user,cat,regularitynbFollowing,regularitynbCatchup,regularitynbIndependant,nbVideos,regularitybehavior,regularityClasses,prediction
271,037820a7-a143-422c-3ebd-3553d373,Ordinary - Unregistered,0.0,1.0,0.0,7.0,Catch-upper,2,1
272,04745589-295d-158e-c6c0-ef24f730,Ordinary - Unregistered,1.0,0.0,0.0,4.0,Follower,0,0
273,04a7d779-f053-b1a3-386e-82d69979,Ordinary - Unregistered,0.0,0.0,1.0,7.0,Independant,1,2
274,068616a9-816f-e8e4-d737-6ddba1df,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,2
275,06f2e041-7a2d-a0ab-5f48-fd01f0a2,Ordinary - Unregistered,0.0,1.0,0.0,11.0,Catch-upper,2,1
276,0781bbba-c179-f93c-1116-8d684911,Ordinary - Unregistered,0.0,0.0,1.0,5.0,Independant,1,2
277,08ee9ac0-7656-2b25-ce41-b44d758e,Ordinary - Unregistered,1.0,0.0,0.0,4.0,Follower,0,0
278,0a84077c-d3fa-56fc-803c-a863ca7e,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,2
279,0c9621b0-ff94-77e8-727f-5420882d,Ordinary - Unregistered,0.6666666666666666,0.3333333333333333,0.0,6.0,Follower,0,3
280,0e59235e-e51a-a5cd-e0ba-0fffe847,Ordinary - Unregistered,0.0,1.0,0.0,11.0,Catch-upper,2,1
281,101c246c-3f77-d919-ca38-8d19141e,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,2
282,10355f7a-f86a-830c-cbf1-fb3c40b6,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,2
283,135b42ab-ac52-d14a-c37c-6ffeca28,Ordinary - Unregistered,0.0,0.0,1.0,8.0,Independant,1,2
284,1459b8fd-ecab-4e30-1fc9-3d649648,Ordinary - Unregistered,0.0,1.0,0.0,7.0,Catch-upper,2,1
285,1496b095-5b5f-4c47-5066-49bcf5d6,Ordinary - Unregistered,0.0,1.0,0.0,4.0,Catch-upper,2,1
286,14a5fec5-bb5b-cac7-e40e-9a363e5c,Ordinary - Unregistered,0.0,0.75,0.25,4.0,Catch-upper,2,1
287,16ba8f74-d9b7-c724-98c5-f31f43be,Ordinary - Unregistered,0.6666666666666666,0.3333333333333333,0.0,6.0,Follower,0,3
288,17b4a5d5-5e2a-5bc2-a4e6-25e3d1d4,Ordinary - Unregistered,0.0,1.0,0.0,8.0,Catch-upper,2,1
289,195b9f52-3731-37a7-2c74-19d11cb6,Ordinary - Unregistered,0.0,0.0,1.0,7.0,Independant,1,2
290,196bc15c-4aac-31e9-7c5d-3599ce10,Ordinary - Unregistered,0.2,0.0,0.8,5.0,Independant,1,2
291,1acb1c12-47e9-e408-eaf9-8167947a,Ordinary - Unregistered,1.0,0.0,0.0,4.0,Follower,0,0
292,1b1cd7ac-2f24-1493-5d7e-d7873af1,Ordinary - Unregistered,0.75,0.0,0.25,4.0,Follower,0,0
293,1beb31a1-0aea-018e-a7e1-82085ffa,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,2
294,1c09a110-d9c3-2442-9f5d-aee802c0,Ordinary - Unregistered,0.0,1.0,0.0,4.0,Catch-upper,2,1
295,1cb07e56-7b73-0087-0a17-3e9c1f88,Ordinary - Unregistered,0.25,0.75,0.0,8.0,Catch-upper,2,1
296,1d3ed189-1162-0dd0-bcb2-fda83a50,Ordinary - Unregistered,0.8333333333333334,0.0,0.16666666666666666,6.0,Follower,0,0
297,1d66d118-9cc1-c6cd-c61c-02ca2ddc,Ordinary - Unregistered,0.0,1.0,0.0,5.0,Catch-upper,2,1
298,1d90b45b-4d8d-42a1-43cd-38e1a241,Ordinary - Unregistered,0.8,0.0,0.2,5.0,Follower,0,0
299,1e81aa64-c3c9-ee4f-ce3c-c4248be0,Ordinary - Unregistered,0.0,0.0,1.0,5.0,Independant,1,2
300,1f7f3fd7-7087-1461-cf43-9add2172,Ordinary - Unregistered,0.5,0.5,0.0,4.0,Follower,0,3
301,1f96865d-62d4-b049-1788-cfccf324,Ordinary - Unregistered,1.0,0.0,0.0,4.0,Follower,0,0
302,20e2fc85-7d0f-8a2c-b651-4b811a97,Ordinary - Unregistered,0.16666666666666666,0.3333333333333333,0.5,6.0,Mixed - No predominent behavior,3,4
303,23e6f6c8-2cd0-ac1c-e8a1-f2338caa,Ordinary - Unregistered,0.0,1.0,0.0,12.0,Catch-upper,2,1
304,258d2e1f-e3e8-2612-8285-895fb96d,Ordinary - Unregistered,0.5,0.5,0.0,4.0,Follower,0,3
305,269144fa-ef0e-c81e-52ff-df9a348a,Ordinary - Unregistered,0.15384615384615385,0.7692307692307693,0.07692307692307693,13.0,Catch-upper,2,1
306,270174bf-baf8-aab4-48e3-139fcf47,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,2
307,27080783-250a-3521-f816-6e7b29cf,Ordinary - Unregistered,1.0,0.0,0.0,5.0,Follower,0,0
308,2c1d08f2-a1ba-6915-db46-1a7721b9,Ordinary - Unregistered,0.0,0.0,1.0,5.0,Independant,1,2
309,2ee1d86b-74ed-47f3-5733-61cc4821,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,2
310,2f7f0e40-1234-75db-2bcf-bdfbdfbc,Ordinary - Unregistered,1.0,0.0,0.0,6.0,Follower,0,0
311,31a88be4-13ad-06c2-119c-3551a490,Ordinary - Unregistered,0.0,0.3,0.7,10.0,Independant,1,4
312,3244a4c0-3f85-3017-5694-2f5647cb,Ordinary - Unregistered,0.8571428571428571,0.0,0.14285714285714285,7.0,Follower,0,0
313,3447bacb-f54d-55c2-592f-3a3ff765,Ordinary - Unregistered,0.0,1.0,0.0,8.0,Catch-upper,2,1
314,34a3d1d8-74eb-8a4e-0506-b9ca1551,Ordinary - Unregistered,0.25,0.0,0.75,4.0,Independant,1,2
315,35813a40-7aa6-5336-237b-c93f1759,Ordinary - Unregistered,0.0,1.0,0.0,8.0,Catch-upper,2,1
316,35ce5334-aefb-9a61-d1c3-7f01a776,Ordinary - Unregistered,0.0,1.0,0.0,8.0,Catch-upper,2,1
317,35daa597-4591-5a82-57a9-1fba2635,Ordinary - Unregistered,0.5,0.5,0.0,4.0,Follower,0,3
318,367365a7-8d2a-3b00-f3e3-f877be3c,Ordinary - Unregistered,0.14285714285714285,0.8571428571428571,0.0,7.0,Catch-upper,2,1
319,3681eecc-7864-c1c1-0024-4d4234be,Ordinary - Unregistered,0.0,1.0,0.0,10.0,Catch-upper,2,1
320,36a67ef1-5f22-7846-3f95-faec67c9,Ordinary - Unregistered,1.0,0.0,0.0,4.0,Follower,0,0
321,37ada581-75c2-560e-2eb3-3db3a231,Ordinary - Unregistered,0.0,1.0,0.0,5.0,Catch-upper,2,1
322,37d73652-37e1-cc5f-6c84-3b9a528c,Ordinary - Unregistered,0.6666666666666666,0.3333333333333333,0.0,6.0,Follower,0,3
323,380773a6-f975-22c8-187e-e40fe702,Ordinary - Unregistered,0.5,0.5,0.0,4.0,Follower,0,3
324,3be7d5a2-f78e-3472-e5ac-fa27ed08,Ordinary - Unregistered,0.0,0.0,1.0,6.0,Independant,1,2
325,3c370e25-1bd5-c34b-ec40-31117752,Ordinary - Unregistered,0.0,1.0,0.0,4.0,Catch-upper,2,1
326,3d524e1d-934c-6d53-022b-983c91c3,Ordinary - Unregistered,0.2,0.4,0.4,5.0,Mixed - No predominent behavior,3,4
327,3d7d0f75-dda5-644d-e527-018ff340,Ordinary - Unregistered,0.0,0.18181818181818182,0.8181818181818182,11.0,Independant,1,2
328,3dc06a27-afe4-b105-1f3c-997851c7,Ordinary - Unregistered,0.09090909090909091,0.8181818181818182,0.09090909090909091,11.0,Catch-upper,2,1
329,3e4346e0-6285-8776-f373-101eac22,Ordinary - Unregistered,1.0,0.0,0.0,5.0,Follower,0,0
330,3e713aeb-dcb2-d6a8-962f-635df3e8,Ordinary - Unregistered,0.0,0.0,1.0,5.0,Independant,1,2
331,3fc2e2fe-697a-3255-1a17-4204819d,Ordinary - Unregistered,0.25,0.75,0.0,8.0,Catch-upper,2,1
332,404bc704-6703-c3c0-815e-55c756c5,Ordinary - Unregistered,0.875,0.0,0.125,8.0,Follower,0,0
333,4196e8ee-e405-a1e1-4a7f-7d9149a5,Ordinary - Unregistered,0.0,1.0,0.0,4.0,Catch-upper,2,1
334,42779e7e-90bc-7eac-5aa8-a9874f90,Ordinary - Unregistered,0.2727272727272727,0.36363636363636365,0.36363636363636365,11.0,Mixed - No predominent behavior,3,4
335,440d90ef-c7d7-0530-608e-8c0fc440,Ordinary - Unregistered,0.42857142857142855,0.5714285714285714,0.0,7.0,Catch-upper,2,3
336,459f5319-edaf-cd53-126d-fdfb12a5,Ordinary - Unregistered,1.0,0.0,0.0,4.0,Follower,0,0
337,45d78fe4-7d30-3b18-371e-57bb06c7,Ordinary - Unregistered,0.0,1.0,0.0,9.0,Catch-upper,2,1
338,4641102c-f3d3-3878-6d00-1c49a28c,Ordinary - Unregistered,0.18181818181818182,0.18181818181818182,0.6363636363636364,11.0,Independant,1,4
339,4a97a9b2-74fe-c9f3-625f-0176bddf,Ordinary - Unregistered,0.3333333333333333,0.0,0.6666666666666666,6.0,Independant,1,2
340,4b21d918-4ac0-0787-3094-37c9432c,Ordinary - Unregistered,0.09090909090909091,0.9090909090909091,0.0,11.0,Catch-upper,2,1
341,4bd540f6-e34d-4592-7680-b2735389,Ordinary - Unregistered,1.0,0.0,0.0,6.0,Follower,0,0
342,4c4ac589-35f5-76e3-d0a3-fedab6c6,Ordinary - Unregistered,0.25,0.5,0.25,8.0,Catch-upper,2,4
343,4cc576c8-f218-94be-fef3-4b6fd86e,Ordinary - Unregistered,0.23076923076923078,0.38461538461538464,0.38461538461538464,13.0,Mixed - No predominent behavior,3,4
344,4d0232bc-202c-ee3a-e58c-e543848c,Ordinary - Unregistered,0.7142857142857143,0.0,0.2857142857142857,7.0,Follower,0,0
345,4debb215-7398-77ba-2243-94adbd31,Ordinary - Unregistered,0.1111111111111111,0.0,0.8888888888888888,9.0,Independant,1,2
346,4f3771bf-0850-3813-5de9-d0592e66,Ordinary - Unregistered,0.0,0.0,1.0,5.0,Independant,1,2
347,502b50b6-08fa-b922-9bb6-dbd4d848,Ordinary - Unregistered,0.0,0.0,1.0,5.0,Independant,1,2
348,53cb26b0-7222-8eb4-ef0d-29e7a801,Ordinary - Unregistered,0.0,1.0,0.0,5.0,Catch-upper,2,1
349,5409088d-b542-9cac-7fac-9ab00271,Ordinary - Unregistered,0.0,1.0,0.0,12.0,Catch-upper,2,1
350,5414140f-2888-40b9-e1e2-7984f327,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,2
351,54e1c86d-b289-f693-e3a3-5d393778,Ordinary - Unregistered,0.6666666666666666,0.3333333333333333,0.0,6.0,Follower,0,3
352,554558f4-55fd-07df-ddb3-309239ad,Ordinary - Unregistered,0.5,0.0,0.5,4.0,Follower,0,4
353,56a4a9a0-7ab4-0a76-0621-b118321b,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,2
354,57b97824-05f2-21af-72f1-95f7d697,Ordinary - Unregistered,0.0,0.625,0.375,8.0,Catch-upper,2,4
355,5bfa22fd-175f-02d2-c446-36369a81,Ordinary - Unregistered,0.09090909090909091,0.0,0.9090909090909091,11.0,Independant,1,2
356,5d557ed3-ce5e-24e4-a66e-aa966d6c,Ordinary - Unregistered,0.25,0.5,0.25,4.0,Catch-upper,2,4
357,5e97ad83-2b2c-529e-f831-deac0066,Ordinary - Unregistered,0.0,0.8,0.2,5.0,Catch-upper,2,1
358,5fad3306-616d-9b57-3411-75efa34d,Ordinary - Unregistered,0.16666666666666666,0.5,0.3333333333333333,6.0,Mixed - No predominent behavior,3,4
359,600fadb1-9f64-3bf4-b14c-378c45ae,Ordinary - Unregistered,0.45454545454545453,0.0,0.5454545454545454,11.0,Independant,1,4
360,6408c27b-ab13-d145-5b44-24f30202,Ordinary - Unregistered,0.0,1.0,0.0,4.0,Catch-upper,2,1
361,6613f3e0-2e08-24f1-52ba-bfab8807,Ordinary - Unregistered,0.0,1.0,0.0,9.0,Catch-upper,2,1
362,6809fd15-56b5-3424-e33d-88eb107c,Ordinary - Unregistered,0.0,1.0,0.0,5.0,Catch-upper,2,1
363,6a9b69a1-5f2e-6aea-63d9-0e9d77c1,Ordinary - Unregistered,0.7142857142857143,0.2857142857142857,0.0,7.0,Follower,0,3
364,6c86b1d0-fd95-c414-78d2-9495251b,Ordinary - Unregistered,0.6,0.4,0.0,5.0,Follower,0,3
365,6e25573c-8b7b-a2e7-a782-480ddb63,Ordinary - Unregistered,0.0,0.5,0.5,4.0,Catch-upper,2,4
366,6f168bc8-c816-a359-ba88-da8c663d,Ordinary - Unregistered,0.0,0.875,0.125,8.0,Catch-upper,2,1
367,6f359ebe-9f0a-2bae-a27a-c4ec1712,Ordinary - Unregistered,0.0,1.0,0.0,6.0,Catch-upper,2,1
368,6f99bc0c-a871-5dd6-80cb-22296ada,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,2
369,70eacff4-a340-e4fd-746a-807b58c3,Ordinary - Unregistered,0.08333333333333333,0.5,0.4166666666666667,12.0,Catch-upper,2,4
370,74105285-3bd1-71b2-bb2b-df56e6f7,Ordinary - Unregistered,0.0,0.75,0.25,4.0,Catch-upper,2,1
371,74df8aff-e884-bc0d-7710-a23afc0d,Ordinary - Unregistered,0.0,0.0,1.0,5.0,Independant,1,2
372,7550652e-a184-e590-1205-03d91e86,Ordinary - Unregistered,1.0,0.0,0.0,5.0,Follower,0,0
373,755f4b52-e48e-eda7-42c0-2dabd3cf,Ordinary - Unregistered,0.16666666666666666,0.3333333333333333,0.5,6.0,Mixed - No predominent behavior,3,4
374,75bece44-7ed0-9de1-f411-854abe3b,Ordinary - Unregistered,0.5,0.0,0.5,4.0,Follower,0,4
375,77d5ac07-0cfc-ac01-e741-58dae777,Ordinary - Unregistered,0.0,0.0,1.0,8.0,Independant,1,2
376,78928b9d-af19-1353-e439-c5b1d36f,Ordinary - Unregistered,0.0,1.0,0.0,5.0,Catch-upper,2,1
377,78f08216-f3b9-62f6-7676-e8f9b3e2,Ordinary - Unregistered,0.4,0.6,0.0,5.0,Catch-upper,2,3
378,7b7820c3-5040-cdf4-4448-bacd9426,Ordinary - Unregistered,0.0,1.0,0.0,9.0,Catch-upper,2,1
379,7c6856f2-bacb-4be2-61d0-ba4bf284,Ordinary - Unregistered,0.6,0.4,0.0,5.0,Follower,0,3
380,7d0acedd-f795-6e39-b508-3eea42ac,Ordinary - Unregistered,0.8571428571428571,0.0,0.14285714285714285,7.0,Follower,0,0
381,80e6c3aa-f56c-4679-d623-79d6fd2d,Ordinary - Unregistered,0.25,0.0,0.75,4.0,Independant,1,2
382,85d4f155-5a13-7eb1-4d96-5c0b6e30,Ordinary - Unregistered,0.0,0.8461538461538461,0.15384615384615385,13.0,Catch-upper,2,1
383,8a2e2082-7444-5533-6931-1b05fd88,Ordinary - Unregistered,0.0,0.7142857142857143,0.2857142857142857,7.0,Catch-upper,2,1
384,8a68d73e-17f5-4571-ef15-e1d03878,Ordinary - Unregistered,0.0,0.2,0.8,10.0,Independant,1,2
385,8a6d88da-00af-01eb-e85b-db817e28,Ordinary - Unregistered,0.125,0.625,0.25,8.0,Catch-upper,2,4
386,8ae29d55-64a1-1cf2-962b-4a35e380,Ordinary - Unregistered,0.0,0.6,0.4,10.0,Catch-upper,2,4
387,8c7bdf99-8cda-02c4-7ccf-ad45ef8a,Ordinary - Unregistered,0.0,0.0,1.0,13.0,Independant,1,2
388,8cedbb4b-6088-0b3c-fc04-ad8ce093,Ordinary - Unregistered,0.0,0.5555555555555556,0.4444444444444444,9.0,Catch-upper,2,4
389,8f38fcd5-8798-9850-2359-5268418e,Ordinary - Unregistered,0.0,0.5,0.5,8.0,Catch-upper,2,4
390,9187a2a4-6ffb-f4f5-f012-df8a1141,Ordinary - Unregistered,0.75,0.0,0.25,4.0,Follower,0,0
391,92d86eda-129e-0d8c-0a73-835acef9,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,2
392,9627fef7-14c0-4a88-0954-9cf43b68,Ordinary - Unregistered,0.1111111111111111,0.0,0.8888888888888888,9.0,Independant,1,2
393,97372a43-0a6d-3145-e63f-0202242e,Ordinary - Unregistered,0.16666666666666666,0.0,0.8333333333333334,6.0,Independant,1,2
394,97f93288-c344-0f1f-19c0-14aff5aa,Ordinary - Unregistered,0.6666666666666666,0.0,0.3333333333333333,9.0,Follower,0,0
395,98599cc0-703a-b3be-34dc-7bcf7e6a,Ordinary - Unregistered,0.0,1.0,0.0,8.0,Catch-upper,2,1
396,987749e2-fc0f-96db-2aa7-7df33e6d,Ordinary - Unregistered,0.25,0.75,0.0,4.0,Catch-upper,2,1
397,991dbd0d-8c68-1ed6-f469-0348585f,Ordinary - Unregistered,0.8571428571428571,0.0,0.14285714285714285,7.0,Follower,0,0
398,9946a658-3dc0-f680-6e04-89182b0f,Ordinary - Unregistered,0.0,0.3333333333333333,0.6666666666666666,6.0,Independant,1,4
399,999f9f91-e880-70f1-00d3-e8994609,Ordinary - Unregistered,0.25,0.25,0.5,8.0,Independant,1,4
400,99d9bce0-1f7d-da02-6d84-afe0122e,Ordinary - Unregistered,0.0,0.8571428571428571,0.14285714285714285,7.0,Catch-upper,2,1
401,9c5c43e2-3def-6e8f-844e-4ee72d08,Ordinary - Unregistered,0.0,0.0,1.0,8.0,Independant,1,2
402,9cc2cc33-730e-86eb-e910-ff1ec6fd,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,2
403,9dfba79f-46d5-9b68-3a28-dff09283,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,2
404,9e184ea2-45e6-abdb-90a9-fb5b011b,Ordinary - Unregistered,0.0,0.4166666666666667,0.5833333333333334,12.0,Independant,1,4
405,a070cc15-8fb3-b7eb-834d-d191a652,Ordinary - Unregistered,0.25,0.0,0.75,4.0,Independant,1,2
406,a134cb86-69ed-3ceb-ab8b-42799b5f,Ordinary - Unregistered,0.0,0.2857142857142857,0.7142857142857143,7.0,Independant,1,4
407,a1ac05b8-d131-07d0-f419-28c0d19a,Ordinary - Unregistered,0.0,1.0,0.0,13.0,Catch-upper,2,1
408,a1b9f7ef-402c-6b05-11c1-33d65f47,Ordinary - Unregistered,0.0,0.0,1.0,8.0,Independant,1,2
409,a4793f2a-58de-2b33-168f-32424641,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,2
410,a55e8048-fa92-f072-72e3-bbf2ba61,Ordinary - Unregistered,1.0,0.0,0.0,6.0,Follower,0,0
411,a7010942-2bf9-c022-3897-796a718f,Ordinary - Unregistered,0.0,0.8,0.2,5.0,Catch-upper,2,1
412,a898d118-8b18-a02c-ae58-2a774d5f,Ordinary - Unregistered,0.0,0.42857142857142855,0.5714285714285714,7.0,Independant,1,4
413,a932ede5-1443-cb58-2838-6a6efc0a,Ordinary - Unregistered,1.0,0.0,0.0,6.0,Follower,0,0
414,a96e9db0-5940-66d7-4a98-2379b34d,Ordinary - Unregistered,0.2,0.0,0.8,5.0,Independant,1,2
415,a98a0de3-d8ed-675c-b2d4-ac776c7b,Ordinary - Unregistered,1.0,0.0,0.0,6.0,Follower,0,0
416,a997f5a7-10f2-8566-1c1d-559b423c,Ordinary - Unregistered,0.07692307692307693,0.6923076923076923,0.23076923076923078,13.0,Catch-upper,2,1
417,abcc36e1-adfa-f564-04d4-d632273a,Ordinary - Unregistered,0.16666666666666666,0.5,0.3333333333333333,6.0,Mixed - No predominent behavior,3,4
418,abda0840-539e-d7ad-7f3c-e3005350,Ordinary - Unregistered,0.42857142857142855,0.5714285714285714,0.0,7.0,Catch-upper,2,3
419,abe4e05a-6e7f-9b91-6fc2-255d8ca8,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,2
420,ad50ec3a-b5fa-441c-dff6-68962309,Ordinary - Unregistered,0.0,1.0,0.0,4.0,Catch-upper,2,1
421,af82af91-5c05-62ed-d5f4-ab452057,Ordinary - Unregistered,0.0,0.5,0.5,8.0,Catch-upper,2,4
422,b203a259-8fca-f544-f793-7196165c,Ordinary - Unregistered,0.0,0.0,1.0,8.0,Independant,1,2
423,b341bfef-bd17-e48f-e3c6-71e45a3b,Ordinary - Unregistered,0.0,1.0,0.0,8.0,Catch-upper,2,1
424,b3ed71c3-f69d-be41-8e55-61063ba5,Ordinary - Unregistered,0.0,1.0,0.0,4.0,Catch-upper,2,1
425,b4317fab-f533-bf46-11da-30745ab3,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,2
426,b51ab28b-c73d-4a8a-b819-1193d14b,Ordinary - Unregistered,0.45454545454545453,0.36363636363636365,0.18181818181818182,11.0,Mixed - No predominent behavior,3,3
427,bbed801c-180e-99dc-7c6b-4a6ce07e,Ordinary - Unregistered,0.75,0.0,0.25,4.0,Follower,0,0
428,bc165eba-99d1-fcf2-3c18-7b8ddbe3,Ordinary - Unregistered,0.0,0.0,1.0,9.0,Independant,1,2
429,bc59fb83-de20-c8dc-0046-06b5a884,Ordinary - Unregistered,0.0,1.0,0.0,6.0,Catch-upper,2,1
430,bde2c3b9-096f-3106-3105-39e3c690,Ordinary - Unregistered,0.0,0.0,1.0,9.0,Independant,1,2
431,be7e4626-8ea8-e4e7-bd98-df4d6b7e,Ordinary - Unregistered,0.2,0.8,0.0,5.0,Catch-upper,2,1
432,be8f96e0-decb-0d0f-f5a0-da9a731a,Ordinary - Unregistered,1.0,0.0,0.0,5.0,Follower,0,0
433,bf2d4ca4-7b76-c83f-c25b-69db4d40,Ordinary - Unregistered,0.0,0.0,1.0,11.0,Independant,1,2
434,c0a279eb-433f-7d20-4fe4-30c7bf1d,Ordinary - Unregistered,0.0,0.0,1.0,7.0,Independant,1,2
435,c0e4f1b6-286e-9a62-9b55-08b882ec,Ordinary - Unregistered,0.23076923076923078,0.0,0.7692307692307693,13.0,Independant,1,2
436,c0f2c451-9f22-3dc5-b0ab-d6747910,Ordinary - Unregistered,0.0,1.0,0.0,10.0,Catch-upper,2,1
437,c1b850ff-362a-890f-0c23-014773bb,Ordinary - Unregistered,0.08333333333333333,0.9166666666666666,0.0,12.0,Catch-upper,2,1
438,c24334a0-477a-6656-021d-668ba57f,Ordinary - Unregistered,0.0,0.0,1.0,7.0,Independant,1,2
439,c3385c79-a01d-377d-9eac-6cf460e9,Ordinary - Unregistered,0.0,0.25,0.75,8.0,Independant,1,2
440,c9f74898-df82-973e-76ca-08186d7c,Ordinary - Unregistered,0.0,1.0,0.0,6.0,Catch-upper,2,1
441,cc1e5f29-a1bd-4a13-5c8d-dbcaa11b,Ordinary - Unregistered,0.0,0.8333333333333334,0.16666666666666666,6.0,Catch-upper,2,1
442,ce280b9f-f7cf-eef4-dd34-fdc44bfe,Ordinary - Unregistered,0.0,0.5,0.5,4.0,Catch-upper,2,4
443,ce4913ec-b21e-60b6-d455-4bc5b2b4,Ordinary - Unregistered,0.5,0.5,0.0,4.0,Follower,0,3
444,ceff0481-0e5a-e1d8-5361-b5ba2a52,Ordinary - Unregistered,0.6666666666666666,0.0,0.3333333333333333,9.0,Follower,0,0
445,cf23b843-3219-15e7-f878-361bbfeb,Ordinary - Unregistered,0.0,1.0,0.0,6.0,Catch-upper,2,1
446,d0fe3bbe-eeeb-e784-986f-51c01c74,Ordinary - Unregistered,1.0,0.0,0.0,6.0,Follower,0,0
447,d2a78c5a-c501-ea53-1bcf-2fedb47d,Ordinary - Unregistered,0.3333333333333333,0.2222222222222222,0.4444444444444444,9.0,Mixed - No predominent behavior,3,4
448,d41a406c-81b7-dca2-962a-a408e155,Ordinary - Unregistered,0.0,1.0,0.0,4.0,Catch-upper,2,1
449,d424420a-72ee-7166-ac7e-9b96c0e6,Ordinary - Unregistered,0.125,0.0,0.875,8.0,Independant,1,2
450,d4ca59b9-1058-6388-4cc5-e58c2290,Ordinary - Unregistered,0.8333333333333334,0.0,0.16666666666666666,6.0,Follower,0,0
451,d5d7fee4-5428-bea3-17aa-30fb97f1,Ordinary - Unregistered,0.0,0.0,1.0,5.0,Independant,1,2
452,d6458839-e410-c16f-44d7-7aad9b6b,Ordinary - Unregistered,0.0,1.0,0.0,11.0,Catch-upper,2,1
453,d80b6775-ae61-8dae-98ce-99412037,Ordinary - Unregistered,0.0,1.0,0.0,4.0,Catch-upper,2,1
454,d89aba44-424b-9d5d-5dd4-f1fbabf1,Ordinary - Unregistered,0.0,1.0,0.0,11.0,Catch-upper,2,1
455,d92b593e-555f-9b3b-4007-752ea02c,Ordinary - Unregistered,0.0,0.0,1.0,8.0,Independant,1,2
456,d964c832-c32d-77ff-672a-1cf12f7e,Ordinary - Unregistered,0.0,1.0,0.0,9.0,Catch-upper,2,1
457,daf25c41-8b84-6414-7646-b7df2abd,Ordinary - Unregistered,0.0,1.0,0.0,8.0,Catch-upper,2,1
458,db98a0d9-3d4f-4219-b27d-74a44a01,Ordinary - Unregistered,1.0,0.0,0.0,5.0,Follower,0,0
459,dd30c478-d26e-3f37-f395-b912bead,Ordinary - Unregistered,0.0,1.0,0.0,9.0,Catch-upper,2,1
460,de14f7c6-1844-4e1b-bb5c-16ceef86,Ordinary - Unregistered,1.0,0.0,0.0,5.0,Follower,0,0
461,dfc849d9-7793-4345-d533-579da01b,Ordinary - Unregistered,0.2727272727272727,0.0,0.7272727272727273,11.0,Independant,1,2
462,e091c85e-d8a5-ed63-dfdb-631d4614,Ordinary - Unregistered,0.75,0.0,0.25,4.0,Follower,0,0
463,e3485d79-4f92-1fff-4e64-56943e9b,Ordinary - Unregistered,0.2,0.8,0.0,10.0,Catch-upper,2,1
464,e65e8c36-5f2d-131d-9602-cd643f97,Ordinary - Unregistered,0.0,0.0,1.0,8.0,Independant,1,2
465,e74ddfe8-97b1-613e-1495-f884f58c,Ordinary - Unregistered,1.0,0.0,0.0,4.0,Follower,0,0
466,e88cc767-fc0d-54d4-243a-4479ebf9,Ordinary - Unregistered,0.0,0.42857142857142855,0.5714285714285714,7.0,Independant,1,4
467,e9822752-a8af-cf42-1ddc-d2518ca8,Ordinary - Unregistered,0.1111111111111111,0.6666666666666666,0.2222222222222222,9.0,Catch-upper,2,1
468,e99d6a57-d572-b7f6-34cf-3ac76f24,Ordinary - Unregistered,1.0,0.0,0.0,6.0,Follower,0,0
469,eb9864df-c827-4027-9de4-5829eee9,Ordinary - Unregistered,0.18181818181818182,0.7272727272727273,0.09090909090909091,11.0,Catch-upper,2,1
470,eba3b0ea-3aeb-a6e3-8df6-742db8a0,Ordinary - Unregistered,0.0,0.5714285714285714,0.42857142857142855,7.0,Catch-upper,2,4
471,ebdd7e01-09f4-dbf1-8a08-602d0001,Ordinary - Unregistered,0.5,0.5,0.0,4.0,Follower,0,3
472,ed71098a-9600-3bac-4cca-70ce0496,Ordinary - Unregistered,1.0,0.0,0.0,4.0,Follower,0,0
473,ed71bd28-a732-78c0-de66-e32f77c8,Ordinary - Unregistered,1.0,0.0,0.0,4.0,Follower,0,0
474,edcaf7c0-7593-61d2-f4e9-689b8340,Ordinary - Unregistered,0.0,1.0,0.0,6.0,Catch-upper,2,1
475,ef70bde5-8a4d-68a0-4f26-e5253d2c,Ordinary - Unregistered,0.0,1.0,0.0,4.0,Catch-upper,2,1
476,f2a9ccb0-9831-6d2a-6254-8f0366c9,Ordinary - Unregistered,0.0,0.3333333333333333,0.6666666666666666,6.0,Independant,1,4
477,f4bf52fc-cffa-0f52-f4f9-2eff92fc,Ordinary - Unregistered,0.0,1.0,0.0,4.0,Catch-upper,2,1
478,f5196f35-183f-1d55-1883-5fef618e,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,2
